TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,956,277,0
1,1,956,272,3
1,1,955,274,7
1,1,956,279,10
1,1,958,279,13
1,1,956,281,17
1,1,955,281,20
1,1,957,275,23
1,1,955,276,27
1,1,955,280,30
1,1,954,275,33
1,1,952,269,37
1,1,958,276,40
1,1,954,275,43
1,1,957,282,47
1,1,956,275,50
1,1,955,277,53
1,1,956,271,57
1,1,956,274,60
1,1,960,280,63
1,1,956,280,67
1,1,955,279,70
1,1,956,274,73
1,1,959,278,77
1,1,956,277,80
1,1,958,276,83
1,1,954,274,87
1,1,955,274,90
1,1,958,276,93
1,1,953,279,97
1,1,961,279,100
1,1,955,278,103
1,1,956,278,107
1,1,959,273,110
1,1,956,271,113
1,1,957,279,117
1,1,956,274,120
1,1,955,280,123
1,1,953,273,127
1,1,954,276,130
1,1,956,275,133
1,1,957,278,137
1,1,956,280,140
1,1,954,281,143
1,1,954,282,147
1,1,956,278,150
1,1,952,282,153
1,1,956,279,157
1,1,956,279,160
1,1,958,282,163
1,1,959,274,167
1,1,954,280,170
1,1,956,282,173
1,1,956,282,177
1,1,955,281,180
1,1,956,278,183
1,1,955,286,187
1,1,957,280,190
1,1,955,284,193
1,1,956,289,197
1,1,959,284,200
1,1,956,283,203
1,1,956,281,207
1,1,957,278,210
1,1,955,274,213
1,1,956,278,217
1,1,954,279,220
1,1,956,284,223
1,1,959,284,227
1,1,958,286,230
1,1,954,283,233
1,1,955,282,237
1,1,956,285,240
1,1,954,276,243
1,1,956,285,247
1,1,956,289,250
1,1,960,285,253
1,1,955,286,257
1,1,957,289,260
1,1,957,285,263
1,1,958,286,267
1,1,958,281,270
1,1,958,281,273
1,1,958,281,277
1,1,957,283,280
1,1,958,282,283
1,1,961,283,287
1,1,958,284,290
1,1,957,283,293
1,1,958,284,297
1,1,959,282,300
1,1,960,283,303
1,1,957,283,307
1,1,960,280,310
1,1,962,281,313
1,1,959,280,317
1,1,958,278,320
1,1,958,280,323
1,1,957,284,327
1,1,958,277,330
1,1,961,283,333
1,1,957,284,337
1,1,958,282,340
1,1,959,278,343
1,1,959,285,347
1,1,960,281,350
1,1,958,286,353
1,1,957,284,357
1,1,957,283,360
1,1,958,288,363
1,1,956,284,367
1,1,959,281,370
1,1,958,284,373
1,1,956,294,377
1,1,956,288,380
1,1,956,287,383
1,1,959,281,387
1,1,957,287,390
1,1,957,287,393
1,1,952,284,397
1,1,954,284,400
1,1,955,283,403
1,1,956,289,406
1,1,959,285,410
1,1,957,287,413
1,1,957,285,417
1,1,958,280,420
1,1,959,285,423
1,1,957,282,427
1,1,953,285,430
1,1,956,286,433
1,1,956,286,436
1,1,952,283,440
1,1,955,290,443
1,1,954,286,447
1,1,952,292,450
1,1,949,295,453
1,1,946,292,457
1,1,946,287,460
1,1,934,294,463
1,1,924,301,466
1,1,909,311,470
1,1,895,306,473
1,1,892,311,477
1,1,897,306,480
1,1,901,307,483
1,1,905,307,487
1,1,905,309,490
1,1,904,308,493
1,1,903,309,496
1,1,905,308,500
1,1,903,305,503
1,1,904,309,506
1,1,901,307,510
1,1,902,310,513
1,1,905,305,517
1,1,901,310,520
1,1,903,305,523
1,1,904,312,527
1,1,905,304,530
1,1,902,310,533
1,1,901,313,536
1,1,900,310,540
1,1,904,308,543
1,1,903,311,547
1,1,903,307,550
1,1,904,307,553
1,1,906,311,557
1,1,907,309,560
1,1,903,306,563
1,1,901,311,566
1,1,903,312,570
1,1,905,313,573
1,1,903,311,576
1,1,901,308,580
1,1,901,308,583
1,1,902,308,587
1,1,902,312,590
1,1,899,308,593
