TaskNo,PartNo,MousePointX,MousePointY,Time
1,1,963,244,0
1,1,963,244,1
1,1,963,244,2
1,1,963,244,3
1,1,963,244,4
1,1,963,244,5
1,1,963,244,6
1,1,963,244,7
1,1,963,244,8
1,1,963,244,9
1,1,963,244,10
1,1,963,244,11
1,1,963,244,12
1,1,963,244,13
1,1,963,244,14
1,1,963,244,15
1,1,963,244,16
1,1,963,244,17
1,1,963,244,18
1,1,963,244,19
1,1,963,244,20
1,1,963,244,21
1,1,963,244,22
1,1,963,244,23
1,1,963,244,24
1,1,963,244,25
1,1,963,244,26
1,1,963,244,27
1,1,963,244,28
1,1,963,244,29
1,1,963,244,30
1,1,963,244,31
1,1,963,244,32
1,1,963,244,33
1,1,963,244,34
1,1,963,244,35
1,1,963,244,36
1,1,963,244,37
1,1,963,244,38
1,1,963,244,39
1,1,963,244,40
1,1,963,244,41
1,1,963,244,42
1,1,963,244,43
1,1,963,244,44
1,1,963,244,45
1,1,963,244,46
1,1,963,244,47
1,1,963,244,48
1,1,963,244,49
1,1,963,244,50
1,1,963,244,51
1,1,963,244,52
1,1,963,244,53
1,1,963,244,54
1,1,963,244,55
1,1,963,244,56
1,1,963,244,57
1,1,963,244,58
1,1,963,244,59
1,1,963,244,60
1,1,963,244,61
1,1,963,244,62
1,1,963,244,63
1,1,963,244,64
1,1,963,244,65
1,1,963,244,66
1,1,963,244,67
1,1,963,244,68
1,1,963,244,69
1,1,963,244,70
1,1,963,244,71
1,1,963,244,72
1,1,963,244,73
1,1,963,244,74
1,1,963,244,75
1,1,963,244,76
1,1,963,244,77
1,1,963,244,78
1,1,963,244,79
1,1,963,244,80
1,1,963,244,81
1,1,963,244,82
1,1,963,244,83
1,1,963,244,84
1,1,963,244,85
1,1,963,244,86
1,1,963,244,87
1,1,963,244,88
1,1,963,244,89
1,1,963,244,90
1,1,963,244,91
1,1,963,244,92
1,1,963,244,93
1,1,963,244,94
1,1,963,244,95
1,1,963,244,96
1,1,963,244,97
1,1,963,244,98
1,1,963,244,99
1,1,963,244,100
1,1,963,244,101
1,1,963,244,102
1,1,963,244,103
1,1,963,244,104
1,1,963,244,105
1,1,963,244,106
1,1,963,244,107
1,1,963,244,108
1,1,963,244,109
1,1,963,244,110
1,1,963,244,111
1,1,963,244,112
1,1,963,244,113
1,1,963,244,114
1,1,963,244,115
1,1,963,244,116
1,1,963,244,117
1,1,963,244,118
1,1,963,244,119
1,1,963,244,120
1,1,963,244,121
1,1,963,244,122
1,1,963,244,123
1,1,963,244,124
1,1,963,244,125
1,1,963,244,126
1,1,963,244,127
1,1,963,244,128
1,1,963,244,129
1,1,963,244,130
1,1,963,244,131
1,1,963,244,132
1,1,963,244,133
1,1,963,244,134
1,1,963,244,135
1,1,963,244,136
1,1,963,244,137
1,1,963,244,138
1,1,963,244,139
1,1,963,244,140
1,1,963,244,141
1,1,963,244,142
1,1,963,244,143
1,1,963,244,144
1,1,963,244,145
1,1,963,244,146
1,1,963,244,147
1,1,963,244,148
1,1,963,244,153
1,1,963,244,154
1,1,963,244,155
1,1,963,244,156
1,1,963,244,157
1,1,963,244,158
1,1,963,244,159
1,1,963,244,160
1,1,963,244,161
1,1,963,244,162
1,1,963,244,163
1,1,963,244,164
1,1,963,244,165
1,1,963,244,166
1,1,963,244,167
1,1,963,244,168
1,1,963,244,169
1,1,963,244,170
1,1,963,244,171
1,1,963,244,172
1,1,963,244,173
1,1,963,244,174
1,1,963,244,175
1,1,963,244,176
1,1,963,244,177
1,1,963,244,178
1,1,963,244,179
1,1,963,244,180
1,1,963,244,181
1,1,963,244,182
1,1,963,244,183
1,1,963,244,184
1,1,963,244,185
1,1,963,244,186
1,1,963,244,187
1,1,963,244,188
1,1,963,244,189
1,1,963,244,190
1,1,963,244,191
1,1,963,244,192
1,1,963,244,193
1,1,963,244,194
1,1,963,244,195
1,1,963,244,196
1,1,963,244,197
1,1,963,244,198
1,1,963,244,199
1,1,963,244,200
1,1,963,244,201
1,1,963,244,202
1,1,963,244,203
1,1,963,244,204
1,1,963,244,205
1,1,963,244,206
1,1,963,244,207
1,1,963,244,208
1,1,963,244,209
1,1,963,244,210
1,1,963,244,211
1,1,963,244,212
1,1,963,244,213
1,1,963,244,214
1,1,963,244,215
1,1,963,244,216
1,1,963,244,217
1,1,963,244,218
1,1,963,244,219
1,1,963,244,220
1,1,963,244,221
1,1,963,244,222
1,1,963,244,223
1,1,963,244,224
1,1,963,244,225
1,1,963,244,226
1,1,963,244,227
1,1,963,244,228
1,1,963,244,229
1,1,963,244,230
1,1,963,244,231
1,1,963,244,232
1,1,963,244,233
1,1,963,244,234
1,1,963,244,235
1,1,963,244,236
1,1,963,244,237
1,1,963,244,238
1,1,963,244,239
1,1,963,244,240
1,1,963,244,241
1,1,963,244,242
1,1,963,244,243
1,1,963,244,244
1,1,963,244,245
1,1,963,244,246
1,1,963,244,247
1,1,963,244,248
1,1,963,244,249
1,1,963,244,250
1,1,963,244,251
1,1,963,244,252
1,1,963,244,253
1,1,963,244,254
1,1,963,244,255
1,1,963,244,256
1,1,963,244,257
1,1,963,244,258
1,1,963,244,259
1,1,963,244,260
1,1,963,244,261
1,1,963,244,262
1,1,961,244,263
1,1,961,244,264
1,1,961,244,265
1,1,961,244,266
1,1,961,244,267
1,1,961,244,268
1,1,961,244,269
1,1,961,244,270
1,1,961,244,272
1,1,961,244,273
1,1,961,244,274
1,1,961,244,275
1,1,961,244,276
1,1,961,244,277
1,1,961,244,278
1,1,960,244,279
1,1,960,244,280
1,1,960,244,281
1,1,960,244,282
1,1,960,244,283
1,1,960,244,284
1,1,960,244,285
1,1,960,244,286
1,1,960,244,287
1,1,960,244,288
1,1,960,244,289
1,1,960,244,290
1,1,960,244,291
1,1,960,244,292
1,1,960,244,293
1,1,960,244,294
1,1,959,243,295
1,1,959,243,296
1,1,959,243,297
1,1,959,243,298
1,1,959,243,299
1,1,959,243,300
1,1,959,243,301
1,1,959,243,302
1,1,958,243,303
1,1,958,243,304
1,1,958,243,305
1,1,958,243,306
1,1,958,243,307
1,1,958,243,308
1,1,958,243,309
1,1,958,243,310
1,1,958,243,311
1,1,958,243,312
1,1,958,243,313
1,1,958,243,314
1,1,958,243,315
1,1,958,243,316
1,1,958,243,317
1,1,958,243,318
1,1,958,243,319
1,1,958,243,320
1,1,958,243,321
1,1,958,243,322
1,1,958,243,323
1,1,958,243,324
1,1,958,243,325
1,1,958,243,326
1,1,958,243,327
1,1,958,243,328
1,1,958,243,329
1,1,958,243,330
1,1,958,243,331
1,1,958,243,332
1,1,958,243,333
1,1,958,243,334
1,1,957,243,336
1,1,957,243,337
1,1,957,243,338
1,1,957,243,339
1,1,957,243,340
1,1,957,243,341
1,1,957,243,342
1,1,957,243,343
1,1,957,243,344
1,1,957,243,345
1,1,957,243,346
1,1,957,243,347
1,1,957,243,348
1,1,957,243,349
1,1,957,243,350
1,1,957,243,351
1,1,957,243,352
1,1,957,243,353
1,1,957,243,354
1,1,957,243,355
1,1,957,243,356
1,1,957,243,357
1,1,957,243,358
1,1,957,243,359
1,1,957,243,360
1,1,957,243,361
1,1,957,243,362
1,1,957,243,363
1,1,957,243,364
1,1,957,243,365
1,1,957,243,366
1,1,957,243,368
1,1,957,243,369
1,1,957,243,370
1,1,957,243,371
1,1,957,243,372
1,1,957,243,373
1,1,957,243,374
1,1,956,243,375
1,1,956,243,376
1,1,956,243,377
1,1,956,243,378
1,1,956,243,379
1,1,956,243,380
1,1,956,243,381
1,1,956,243,382
1,1,956,243,383
1,1,956,243,384
1,1,956,243,385
1,1,956,243,386
1,1,956,243,387
1,1,956,243,388
1,1,956,243,389
1,1,956,243,390
1,1,956,243,391
1,1,956,243,392
1,1,956,243,393
1,1,956,243,394
1,1,956,243,395
1,1,956,243,396
1,1,956,243,397
1,1,956,243,398
1,1,954,243,400
1,1,954,243,401
1,1,954,243,402
1,1,954,243,403
1,1,954,243,404
1,1,954,243,405
1,1,954,243,406
1,1,953,243,407
1,1,953,243,408
